"Pollster","Dates","N.Pop","McCain","Obama","Barr","Nader","Other","Undecided","Margin","Starting.Date","End.Date","Len","Day","N","Pop","MainPollster"
"Rasmussen","8/13-15/08","3000 LV",45,46,"-","-","-","-","+1D","8/13/08","8/15/08",3,227,3000,"LV","Rasmussen"
"Zogby (Internet)","8/12-14/08","3339 LV",42,44,"-","-","-","14","+2D","8/12/08","8/14/08",3,226,3339,"LV","Zogby"
"Gallup","8/12-14/08","2690 RV",44,44,"-","-","1","11","0","8/12/08","8/14/08",3,226,2690,"RV","Gallup"
"GWU (Lake/Tarrance)","8/10-14/08","1000 LV",47,46,"-","-","-","7","+1R","8/10/08","8/14/08",5,225,1000,"LV","GWU"
"Economist/YouGov","8/11-13/08","1000 A",40,41,"-","-","4","12","+1D","8/11/08","8/13/08",3,225,1000,"A",NA
"Rasmussen","8/10-12/08","3000 LV",46,48,"-","-","-","-","+2D","8/10/08","8/12/08",3,224,3000,"LV","Rasmussen"
"Gallup","8/9-11/08","2656 RV",42,47,"-","-","1","10","+5D","8/9/08","8/11/08",3,223,2656,"RV","Gallup"
"Pew","7/31-8/10/08","2414 RV",43,46,"-","-","-","11","+3D","7/31/08","8/10/08",11,218,2414,"RV",NA
"Rasmussen","8/7-9/08","3000 LV",46,48,"-","-","-","-","+2D","8/7/08","8/9/08",3,221,3000,"LV","Rasmussen"
"IBD/TIPP","8/4-9/08","925 RV",38,43,"-","-","-","19","+5D","8/4/08","8/9/08",6,219.5,925,"RV",NA
"Gallup","8/6-8/08","2686 RV",42,47,"-","-","1","10","+5D","8/6/08","8/8/08",3,220,2686,"RV","Gallup"
"Harris Interactive","8/1-7/08","2488 RV",38,47,"2","3","3","7","+9D","8/1/08","8/7/08",7,217,2488,"RV",NA
"Sacred Heart U","7/28-8/7/08","800 A",27,38,"-","-","22","13","+11D","7/28/08","8/7/08",11,215,800,"A",NA
"Rasmussen","8/4-6/08","3000 LV",46,47,"-","-","-","-","+1D","8/4/08","8/6/08",3,218,3000,"LV","Rasmussen"
"Economist/YouGov","8/4-6/08","1000 A",39,42,"-","-","4","13","+3D","8/4/08","8/6/08",3,218,1000,"A",NA
"Gallup","8/3-5/08","2691 RV",44,46,"-","-","1","10","+2D","8/3/08","8/5/08",3,217,2691,"RV","Gallup"
"CBS","7/31-8/5/08","851 RV",39,45,"-","-","-","15","+6D","7/31/08","8/5/08",6,215.5,851,"RV",NA
"AP-Ipsos","7/31-8/4/08","833 RV",41,47,"2","3","5","3","+6D","7/31/08","8/4/08",5,215,833,"RV",NA
"Time","7/31-8/4/08","808 LV",41,46,"-","-","3","10","+5D","7/31/08","8/4/08",5,215,808,"LV",NA
"Rasmussen","8/1-3/08","3000 LV",47,46,"-","-","-","-","+1R","8/1/08","8/3/08",3,215,3000,"LV","Rasmussen"
"Gallup","7/31-8/2/08","2684 RV",44,45,"-","-","1","11","+1D","7/31/08","8/2/08",3,214,2684,"RV","Gallup"
"Zogby","7/31-8/1/08","1011 LV",42,41,"2","2","-","13","+1R","7/31/08","8/1/08",2,213.5,1011,"LV","Zogby"
"Rasmussen","7/29-31/08","3000 LV",46,47,"-","-","-","-","+1D","7/29/08","7/31/08",3,212,3000,"LV","Rasmussen"
"Gallup","7/28-30/08","2679 RV",44,45,"-","-","1","12","+1D","7/28/08","7/30/08",3,211,2679,"RV","Gallup"
"Economist/YouGov","7/28-29/08","1000 A",37,44,"-","-","5","14","+7D","7/28/08","7/29/08",2,210.5,1000,"A",NA
"CNN","7/27-29/08","914 RV",44,51,"-","-","1","4","+7D","7/27/08","7/29/08",3,210,914,"RV","CNN"
"Rasmussen","7/26-28/08","3000 LV",46,47,"-","-","-","-","+1D","7/26/08","7/28/08",3,209,3000,"LV","Rasmussen"
"Research 2000","7/25-27/08","1100 LV",39,51,"3","2","-","5","+12D","7/25/08","7/27/08",3,208,1100,"LV",NA
"Gallup","7/25-27/08","2674 RV",40,48,"-","-","1","10","+8D","7/25/08","7/27/08",3,208,2674,"RV","Gallup"
"USA Today/Gallup","7/25-27/08","791 LV",49,45,"-","-","1","5","+4R","7/25/08","7/27/08",3,208,791,"LV","Gallup"
"Pew","7/23-27/08","1241 RV",42,47,"-","-","-","11","+5D","7/23/08","7/27/08",5,207,1241,"RV",NA
"Rasmussen","7/23-25/08","3000 LV",43,49,"-","-","-","-","+6D","7/23/08","7/25/08",3,206,3000,"LV","Rasmussen"
"Economist/YouGov","7/22-24/08","1000 A",38,41,"-","-","5","14","+3D","7/22/08","7/24/08",3,205,1000,"A",NA
"Gallup","7/22-24/08","2695 RV",41,47,"-","-","1","11","+6D","7/22/08","7/24/08",3,205,2695,"RV","Gallup"
"Democracy Corps (D)","7/21-24/08","735 LV",43,49,"3","1","1","2","+6D","7/21/08","7/24/08",4,204.5,735,"LV",NA
"FOX","7/22-23/08","900 RV",37,40,"0","2","1","17","+3D","7/22/08","7/23/08",2,204.5,900,"RV","FOX"
"Rasmussen","7/20-22/08","3000 LV",45,47,"-","-","-","-","+2D","7/20/08","7/22/08",3,203,3000,"LV","Rasmussen"
"Gallup","7/19-21/08","2645 RV",42,45,"-","-","1","12","+3D","7/19/08","7/21/08",3,202,2645,"RV","Gallup"
"NBC/WSJ","7/18-21/08","1003 RV",41,47,"-","-","4","8","+6D","7/18/08","7/21/08",4,201.5,1003,"RV",NA
"Rasmussen","7/17-19/08","3000 LV",45,47,"-","-","-","-","+2D","7/17/08","7/19/08",3,200,3000,"LV","Rasmussen"
"Gallup","7/16-18/08","2657 RV",43,45,"-","-","1","10","+2D","7/16/08","7/18/08",3,199,2657,"RV","Gallup"
"Economist/YouGov","7/15-17/08","1000 A",36,41,"-","-","4","13","+5D","7/15/08","7/17/08",3,198,1000,"A",NA
"Rasmussen","7/14-16/08","3000 LV",46,46,"-","-","-","-","0","7/14/08","7/16/08",3,197,3000,"LV","Rasmussen"
"Gallup","7/13-15/08","2638 RV",44,47,"-","-","1","9","+3D","7/13/08","7/15/08",3,196,2638,"RV","Gallup"
"CBS/Times","7/7-14/08","1534 RV",39,45,"-","-","2","14","+6D","7/7/08","7/14/08",8,192.5,1534,"RV","NY Times"
"Rasmussen","7/11-13/08","3000 LV",46,47,"-","-","-","-","+1D","7/11/08","7/13/08",3,194,3000,"LV","Rasmussen"
"ABC/Post","7/10-13/08","LV",46,49,"-","-","3","2","+3D","7/10/08","7/13/08",4,193.5,NA,"LV",NA
"Zogby/Reuters","7/9-13/08","1039 LV",40,47,"-","-","3","10","+7D","7/9/08","7/13/08",5,193,1039,"LV","Zogby"
"Quinnipiac","7/8-13/08","1725 LV",41,50,"-","-","2","7","+9D","7/8/08","7/13/08",6,192.5,1725,"LV",NA
"Gallup","7/10-12/08","2635 RV",43,46,"-","-","1","10","+3D","7/10/08","7/12/08",3,193,2635,"RV","Gallup"
"IBD/TIPP","7/7-11/08","854 RV",37,40,"-","-","4","18","+3D","7/7/08","7/11/08",5,191,854,"RV",NA
"Harris Interactive","7/3-11/08","RV",35,44,"2","2","3","16","+9D","7/3/08","7/11/08",9,189,NA,"RV",NA
"Newsweek","7/9-10/08","1037 RV",41,44,"-","-","-","15","+3D","7/9/08","7/10/08",2,191.5,1037,"RV",NA
"Rasmussen","7/8-10/08","3000 LV",45,47,"-","-","-","-","+2D","7/8/08","7/10/08",3,191,3000,"LV","Rasmussen"
"Gallup","7/7-9/08","2647 RV",43,46,"-","-","1","10","+3D","7/7/08","7/9/08",3,190,2647,"RV","Gallup"
"Economist/YouGov","7/7-9/08","1000 A",38,39,"-","-","4","14","+1D","7/7/08","7/9/08",3,190,1000,"A",NA
"Rasmussen","7/2-7/08","3000 LV",43,49,"-","-","-","-","+6D","7/2/08","7/7/08",6,186.5,3000,"LV","Rasmussen"
"Gallup","7/3-6/08","2650 RV",43,47,"-","-","1","10","+4D","7/3/08","7/6/08",4,186.5,2650,"RV","Gallup"
"Economist/YouGov","7/1-2/08","1000 A",34,37,"-","-","3","17","+3D","7/1/08","7/2/08",2,183.5,1000,"A",NA
"Gallup","6/30-7/2/08","2641 RV",43,47,"-","-","1","10","+4D","6/30/08","7/2/08",3,183,2641,"RV","Gallup"
"Rasmussen","6/29-7/1/08","3000 LV",44,49,"-","-","-","-","+5D","6/29/08","7/1/08",3,182,3000,"LV","Rasmussen"
"Gallup","6/26-29/08","2656 RV",42,47,"-","-","1","10","+5D","6/26/08","6/29/08",4,179.5,2656,"RV","Gallup"
"CNN","6/26-29/08","906 RV",45,50,"-","-","-","5","+5D","6/26/08","6/29/08",4,179.5,906,"RV","CNN"
"McLaughlin (R)","6/26-29/08","1000 LV",38,46,"-","-","-","16","+8D","6/26/08","6/29/08",4,179.5,1000,"LV",NA
"Pew","6/18-29/08","1574 RV",40,48,"-","-","-","12","+8D","6/18/08","6/29/08",12,175.5,1574,"RV",NA
"Rasmussen","6/26-28/08","3000 LV",43,49,"-","-","-","-","+6D","6/26/08","6/28/08",3,179,3000,"LV","Rasmussen"
"Rasmussen","6/23-25/08","3000 LV",45,49,"-","-","-","-","+4D","6/23/08","6/25/08",3,176,3000,"LV","Rasmussen"
"Gallup","6/23-25/08","2605 RV",44,44,"-","-","1","11","0","6/23/08","6/25/08",3,176,2605,"RV","Gallup"
"Economist/YouGov","6/23-25/08","1000 A",34,36,"-","-","4","17","+2D","6/23/08","6/25/08",3,176,1000,"A",NA
"Democracy Corps (D)","6/22-25/08","2000 LV",45,49,"-","-","2","3","+4D","6/22/08","6/25/08",4,175.5,2000,"LV",NA
"Time","6/18-25/08","805 LV",43,47,"-","-","2","8","+4D","6/18/08","6/25/08",8,173.5,805,"LV",NA
"Times/Bloomberg","6/19-23/08","1115 RV",37,49,"-","-","4","10","+12D","6/19/08","6/23/08",5,173,1115,"RV","NY Times"
"Rasmussen","6/20-22/08","3000 LV",43,49,"-","-","-","-","+6D","6/20/08","6/22/08",3,173,3000,"LV","Rasmussen"
"Gallup","6/20-22/08","2608 RV",43,46,"-","-","1","9","+3D","6/20/08","6/22/08",3,173,2608,"RV","Gallup"
"Franklin and Marshall/Hearst-Argyle","6/16-22/08","1501 RV",36,42,"-","-","7","15","+6D","6/16/08","6/22/08",7,171,1501,"RV",NA
"Newsweek","6/18-19/08","896 RV",36,51,"-","-","-","13","+15D","6/18/08","6/19/08",2,170.5,896,"RV",NA
"Rasmussen","6/17-19/08","3000 LV",44,48,"-","-","-","-","+4D","6/17/08","6/19/08",3,170,3000,"LV","Rasmussen"
"Gallup","6/16-19/08","2648 RV",44,46,"-","-","1","9","+2D","6/16/08","6/19/08",4,169.5,2648,"RV","Gallup"
"USA Today/Gallup","6/15-19/08","1310 LV",44,50,"-","-","-","-","+6D","6/15/08","6/19/08",5,169,1310,"LV","Gallup"
"FOX","6/17-18/08","900 RV",39,42,"2","4","-","14","+3D","6/17/08","6/18/08",2,169.5,900,"RV","FOX"
"Economist/YouGov","6/16-17/08","1000 A",34,37,"-","-","5","16","+3D","6/16/08","6/17/08",2,168.5,1000,"A",NA
"Rasmussen","6/14-16/08","3000 LV",44,48,"-","-","-","-","+4D","6/14/08","6/16/08",3,167,3000,"LV","Rasmussen"
"Gallup","6/13-15/08","2607 RV",42,46,"-","-","1","12","+4D","6/13/08","6/15/08",3,166,2607,"RV","Gallup"
"Cook/RT","6/12-15/08","880 RV",40,44,"-","-","1","15","+4D","6/12/08","6/15/08",4,165.5,880,"RV",NA
"ABC/Post","6/12-15/08","LV",48,47,"-","-","3","2","+1R","6/12/08","6/15/08",4,165.5,NA,"LV",NA
"Zogby/Reuters","6/12-14/08","1113 LV",42,47,"-","-","-","12","+5D","6/12/08","6/14/08",3,165,1113,"LV","Zogby"
"Rasmussen","6/11-13/08","3000 LV",43,49,"-","-","-","-","+6D","6/11/08","6/13/08",3,164,3000,"LV","Rasmussen"
"Harris Interactive","6/5-13/08","2327 A",32,42,"-","-","14","12","+10D","6/5/08","6/13/08",9,161,2327,"A",NA
"Gallup","6/10-12/08","2714 RV",43,46,"-","-","1","10","+3D","6/10/08","6/12/08",3,163,2714,"RV","Gallup"
"Economist/YouGov","6/10-11/08","1000 A",33,37,"-","-","5","15","+4D","6/10/08","6/11/08",2,162.5,1000,"A",NA
"AP-Ipsos","6/5-11/08","467 LV",43,50,"-","-","5","1","+7D","6/5/08","6/11/08",7,160,467,"LV",NA
"Rasmussen","6/8-10/08","3000 LV",44,49,"-","-","-","-","+5D","6/8/08","6/10/08",3,161,3000,"LV","Rasmussen"
"Gallup","6/7-9/08","2633 RV",41,48,"-","-","1","10","+7D","6/7/08","6/9/08",3,160,2633,"RV","Gallup"
"NBC/WSJ","6/6-9/08","1000 RV",41,47,"-","-","4","8","+6D","6/6/08","6/9/08",4,159.5,1000,"RV",NA
"Diageo/Hotline","6/5-8/08","806 RV",42,44,"-","-","-","11","+2D","6/5/08","6/8/08",4,158.5,806,"RV","Hotline"
"IBD/TIPP","6/2-8/08","916 RV",40,43,"-","-","-","17","+3D","6/2/08","6/8/08",7,157,916,"RV",NA
"Rasmussen","6/5-7/08","3000 LV",43,50,"-","-","-","-","+7D","6/5/08","6/7/08",3,158,3000,"LV","Rasmussen"
"Gallup","6/2-6/08","4408 RV",45,46,"-","-","1","8","+1D","6/2/08","6/6/08",5,156,4408,"RV","Gallup"
"CNN","6/4-5/08","921 RV",46,49,"-","-","-","5","+3D","6/4/08","6/5/08",2,156.5,921,"RV","CNN"
"Rasmussen","6/2-4/08","3000 LV",45,47,"-","-","-","-","+2D","6/2/08","6/4/08",3,155,3000,"LV","Rasmussen"
"CBS","5/30-6/3/08","930 RV",42,48,"-","-","1","9","+6D","5/30/08","6/3/08",5,153,930,"RV",NA
"USA Today/Gallup","5/30-6/1/08","803 LV",44,49,"-","-","-","-","+5D","5/30/08","6/1/08",3,152,803,"LV","Gallup"
"Rasmussen","5/29-6/1/08","1600 LV",45,45,"-","-","-","-","0","5/29/08","6/1/08",4,151.5,1600,"LV","Rasmussen"
"Gallup","5/28-6/1/08","4378 RV",46,46,"-","-","1","7","0","5/28/08","6/1/08",5,151,4378,"RV","Gallup"
"Cook/RT","5/29-31/08","802 RV",43,44,"-","-","3","10","+1D","5/29/08","5/31/08",3,151,802,"RV",NA
"Economist/YouGov","5/27-28/08","1000 A",48,38,"-","-","-","15","+10R","5/27/08","5/28/08",2,148.5,1000,"A",NA
"Lombardo (R)","5/26-28/08","1000 RV",40,44,"-","-","-","-","+4D","5/26/08","5/28/08",3,148,1000,"RV",NA
"Rasmussen","5/25-28/08","1600 LV",47,42,"-","-","-","-","+5R","5/25/08","5/28/08",4,147.5,1600,"LV","Rasmussen"
"Gallup","5/22-27/08","4411 RV",46,45,"-","-","1","8","+1R","5/22/08","5/27/08",6,145.5,4411,"RV","Gallup"
"Democracy Corps (D)","5/19-26/08","1600 LV",47,47,"-","-","2","3","0","5/19/08","5/26/08",8,143.5,1600,"LV",NA
"Pew","5/21-25/08","1242 RV",44,47,"-","-","-","9","+3D","5/21/08","5/25/08",5,144,1242,"RV",NA
"Rasmussen","5/21-24/08","1600 LV",46,44,"-","-","-","-","+2R","5/21/08","5/24/08",4,143.5,1600,"LV","Rasmussen"
"Newsweek","5/21-22/08","1205 RV",46,46,"-","-","-","8","0","5/21/08","5/22/08",2,142.5,1205,"RV",NA
"Economist/YouGov","5/20-21/08","1000 A",41,43,"-","-","-","16","+2D","5/20/08","5/21/08",2,141.5,1000,"A",NA
"Gallup","5/17-21/08","4446 RV",44,47,"-","-","1","7","+3D","5/17/08","5/21/08",5,140,4446,"RV","Gallup"
"Rasmussen","5/17-20/08","1600 LV",45,44,"-","-","-","-","+1R","5/17/08","5/20/08",4,139.5,1600,"LV","Rasmussen"
"Harris Interactive","5/8-19/08","2317 A",35,39,"-","-","13","11","+4D","5/8/08","5/19/08",12,134.5,2317,"A",NA
"Zogby","5/15-18/08","1076 LV",40,48,"-","-","-","-","+8D","5/15/08","5/18/08",4,137.5,1076,"LV","Zogby"
"IBD/TIPP","5/12-18/08","876 RV",37,48,"-","-","-","15","+11D","5/12/08","5/18/08",7,136,876,"RV",NA
"Rasmussen","5/13-16/08","1600 LV",45,44,"-","-","-","-","+1R","5/13/08","5/16/08",4,135.5,1600,"LV","Rasmussen"
"Gallup","5/12-16/08","4385 RV",47,44,"-","-","1","8","+3R","5/12/08","5/16/08",5,135,4385,"RV","Gallup"
"Economist/YouGov","5/14-15/08","1000 A",42,39,"-","-","-","19","+3R","5/14/08","5/15/08",2,135.5,1000,"A",NA
"GWU (Lake/Tarrance)","5/11-14/08","1018 LV",47,49,"-","-","-","5","+2D","5/11/08","5/14/08",4,133.5,1018,"LV","GWU"
"Democracy Corps (D)","5/13/08","1014 LV",46,48,"-","-","2","4","+2D","5/13/08","5/13/08",1,134,1014,"LV",NA
"Rasmussen","5/9-12/08","1600 LV",46,47,"-","-","-","-","+1D","5/9/08","5/12/08",4,131.5,1600,"LV","Rasmussen"
"Quinnipiac","5/8-12/08","1245 RV",40,47,"-","-","2","8","+7D","5/8/08","5/12/08",5,131,1245,"RV",NA
"ABC/Post","5/8-11/08","1122 A",44,51,"-","-","3","1","+7D","5/8/08","5/11/08",4,130.5,1122,"A",NA
"Gallup","5/7-11/08","4370 RV",43,47,"-","-","1","8","+4D","5/7/08","5/11/08",5,130,4370,"RV","Gallup"
"NPR","5/7-10/08","800 LV",43,48,"-","-","1","5","+5D","5/7/08","5/10/08",4,129.5,800,"LV",NA
"Rasmussen","5/5-8/08","1600 LV",44,47,"-","-","-","-","+3D","5/5/08","5/8/08",4,127.5,1600,"LV","Rasmussen"
"Times/Bloomberg","5/1-8/08","1986 RV",40,46,"-","-","-","9","+6D","5/1/08","5/8/08",8,125.5,1986,"RV","NY Times"
"Economist/YouGov","5/5-6/08","1000 A",46,39,"-","-","-","15","+7R","5/5/08","5/6/08",2,126.5,1000,"A",NA
"Gallup","5/2-6/08","4382 RV",45,46,"-","-","1","9","+1D","5/2/08","5/6/08",5,125,4382,"RV","Gallup"
"Rasmussen","5/1-4/08","1600 LV",47,43,"-","-","-","-","+4R","5/1/08","5/4/08",4,123.5,1600,"LV","Rasmussen"
"AP-Ipsos","4/30-5/4/08","755 RV",42,46,"-","-","9","3","+4D","4/30/08","5/4/08",5,123,755,"RV",NA
"USA Today/Gallup","5/1-3/08","803 LV",48,47,"-","-","1","4","+1R","5/1/08","5/3/08",3,123,803,"LV","Gallup"
"CBS/Times","5/1-3/08","601 RV",38,50,"-","-","1","11","+12D","5/1/08","5/3/08",3,123,601,"RV","NY Times"
"Diageo/Hotline","4/30-5/3/08","803 RV",43,47,"-","-","-","10","+4D","4/30/08","5/3/08",4,122.5,803,"RV","Hotline"
"Economist/YouGov","4/30-5/2/08","1000 A",41,43,"-","-","-","16","+2D","4/30/08","5/2/08",3,122,1000,"A",NA
"Gallup","4/27-5/1/08","4381 RV",48,42,"-","-","1","10","+6R","4/27/08","5/1/08",5,120,4381,"RV","Gallup"
"CNN","4/28-30/08","906 RV",45,49,"-","-","-","7","+4D","4/28/08","4/30/08",3,120,906,"RV","CNN"
"Rasmussen","4/27-30/08","1600 LV",46,43,"-","-","-","-","+3R","4/27/08","4/30/08",4,119.5,1600,"LV","Rasmussen"
"FOX","4/28-29/08","900 RV",46,43,"-","-","-","11","+3R","4/28/08","4/29/08",2,119.5,900,"RV","FOX"
"CBS/Times","4/25-29/08","956 RV",45,45,"-","-","1","9","0","4/25/08","4/29/08",5,118,956,"RV","NY Times"
"NBC/WSJ","4/25-28/08","1006 RV",43,46,"-","-","5","6","+3D","4/25/08","4/28/08",4,117.5,1006,"RV",NA
"AP-Ipsos","4/23-27/08","1001 A",44,46,"-","-","8","2","+2D","4/23/08","4/27/08",5,116,1001,"A",NA
"Pew","4/23-27/08","1323 RV",44,50,"-","-","-","6","+6D","4/23/08","4/27/08",5,116,1323,"RV",NA
"Rasmussen","4/23-26/08","1600 LV",46,46,"-","-","-","-","0","4/23/08","4/26/08",4,115.5,1600,"LV","Rasmussen"
"Gallup","4/22-26/08","4383 RV",45,45,"-","-","1","9","0","4/22/08","4/26/08",5,115,4383,"RV","Gallup"
"Newsweek","4/24-25/08","1203 RV",44,47,"-","-","-","9","+3D","4/24/08","4/25/08",2,115.5,1203,"RV",NA
"Economist/YouGov","4/21-22/08","1000 A",45,42,"-","-","-","13","+3R","4/21/08","4/22/08",2,112.5,1000,"A",NA
"Rasmussen","4/19-22/08","1600 LV",47,44,"-","-","-","-","+3R","4/19/08","4/22/08",4,111.5,1600,"LV","Rasmussen"
"Gallup","4/17-21/08","4367 RV",45,45,"-","-","1","5","0","4/17/08","4/21/08",5,110,4367,"RV","Gallup"
"USA Today/Gallup","4/18-20/08","832 LV",44,49,"-","-","1","6","+5D","4/18/08","4/20/08",3,110,832,"LV","Gallup"
"Cook/RT","4/17-20/08","802 RV",44,45,"-","-","2","9","+1D","4/17/08","4/20/08",4,109.5,802,"RV",NA
"Rasmussen","4/15-18/08","1600 LV",48,41,"-","-","-","-","+7R","4/15/08","4/18/08",4,107.5,1600,"LV","Rasmussen"
"Newsweek","4/16-17/08","1209 RV",44,48,"-","-","-","8","+4D","4/16/08","4/17/08",2,107.5,1209,"RV",NA
"Democracy Corps (D)","4/15-17/08","1000 LV",47,48,"-","-","2","3","+1D","4/15/08","4/17/08",3,107,1000,"LV",NA
"Economist/YouGov","4/15-16/08","1000 A",45,42,"-","-","-","13","+3R","4/15/08","4/16/08",2,106.5,1000,"A",NA
"Gallup","4/12-16/08","4413 RV",44,46,"-","-","1","9","+2D","4/12/08","4/16/08",5,105,4413,"RV","Gallup"
"Rasmussen","4/11-14/08","1600 LV",47,43,"-","-","-","-","+4R","4/11/08","4/14/08",4,103.5,1600,"LV","Rasmussen"
"ABC/Post","4/10-13/08","RV",44,49,"-","-","3","2","+5D","4/10/08","4/13/08",4,102.5,NA,"RV",NA
"Harris Interactive","4/11-12/08","2869 A",35,41,"-","-","13","11","+6D","4/11/08","4/12/08",2,102.5,2869,"A",NA
"Zogby","4/10-12/08","1049 LV",45,45,"-","-","-","-","0","4/10/08","4/12/08",3,102,1049,"LV","Zogby"
"Gallup","4/7-11/08","4400 RV",43,46,"-","-","1","10","+3D","4/7/08","4/11/08",5,100,4400,"RV","Gallup"
"Rasmussen","4/7-10/08","1600 LV",47,44,"-","-","-","-","+3R","4/7/08","4/10/08",4,99.5,1600,"LV","Rasmussen"
"AP-Ipsos","4/7-9/08","1005 A",45,45,"-","-","7","3","0","4/7/08","4/9/08",3,99,1005,"A",NA
"Economist/YouGov","4/7-8/08","1000 A",44,44,"-","-","-","13","0","4/7/08","4/8/08",2,98.5,1000,"A",NA
"Economist/YouGov","4/4-7/08","1000 A",44,43,"-","-","-","13","+1R","4/4/08","4/7/08",4,96.5,1000,"A",NA
"Rasmussen","4/3-6/08","1600 LV",46,45,"-","-","-","-","+1R","4/3/08","4/6/08",4,95.5,1600,"LV","Rasmussen"
"Gallup","4/2-6/08","4380 RV",45,45,"-","-","1","9","0","4/2/08","4/6/08",5,95,4380,"RV","Gallup"
"IBD/TIPP","4/1-6/08","RV",44,44,"-","-","-","12","0","4/1/08","4/6/08",6,94.5,NA,"RV",NA
"Rasmussen","3/30-4/2/08","1600 LV",48,41,"-","-","-","-","+7R","3/30/08","4/2/08",4,91.5,1600,"LV","Rasmussen"
"CBS/Times","3/28-4/2/08","1196 RV",42,47,"-","-","1","10","+5D","3/28/08","4/2/08",6,90.5,1196,"RV","NY Times"
"Gallup","3/28-4/1/08","4431 RV",46,44,"-","-","1","8","+2R","3/28/08","4/1/08",5,90,4431,"RV","Gallup"
"Diageo/Hotline","3/28-31/08","799 RV",46,44,"-","-","-","8","+2R","3/28/08","3/31/08",4,89.5,799,"RV","Hotline"
"Rasmussen","3/26-29/08","1600 LV",47,44,"-","-","-","-","+3R","3/26/08","3/29/08",4,87.5,1600,"LV","Rasmussen"
"Voter/Consumer (R-RNC)","3/25-27/08","800 RV",48,42,"-","-","-","-","+6R","3/25/08","3/27/08",3,86,800,"RV",NA
"Democracy Corps (D)","3/25-27/08","500 LV",49,46,"-","-","2","3","+3R","3/25/08","3/27/08",3,86,500,"LV",NA
"Gallup","3/22-27/08","4398 RV",46,44,"-","-","1","10","+2R","3/22/08","3/27/08",6,84.5,4398,"RV","Gallup"
"Economist/YouGov","3/24-26/08","1000 A",44,42,"-","-","-","14","+2R","3/24/08","3/26/08",3,85,1000,"A",NA
"NBC/WSJ","3/24-25/08","700 RV",42,44,"-","-","4","10","+2D","3/24/08","3/25/08",2,84.5,700,"RV",NA
"Rasmussen","3/22-25/08","1600 LV",51,41,"-","-","-","-","+10R","3/22/08","3/25/08",4,83.5,1600,"LV","Rasmussen"
"Economist/YouGov","3/21-24/08","1000 A",45,41,"-","-","-","14","+4R","3/21/08","3/24/08",4,82.5,1000,"A",NA
"Harris Interactive","3/14-24/08","2549 A",33,39,"-","-","17","12","+6D","3/14/08","3/24/08",11,79,2549,"A",NA
"Pew","3/19-22/08","1248 RV",43,49,"-","-","-","8","+6D","3/19/08","3/22/08",4,80.5,1248,"RV",NA
"Rasmussen","3/18-21/08","1600 LV",49,41,"-","-","-","-","+8R","3/18/08","3/21/08",4,79.5,1600,"LV","Rasmussen"
"Gallup","3/17-21/08","4376 RV",46,44,"-","-","1","8","+2R","3/17/08","3/21/08",5,79,4376,"RV","Gallup"
"FOX","3/18-19/08","900 RV",44,43,"-","-","-","13","+1R","3/18/08","3/19/08",2,78.5,900,"RV","FOX"
"CBS","3/15-18/08","952 RV",43,48,"-","-","-","6","+5D","3/15/08","3/18/08",4,76.5,952,"RV",NA
"Rasmussen","3/14-17/08","1600 LV",48,42,"-","-","-","-","+6R","3/14/08","3/17/08",4,75.5,1600,"LV","Rasmussen"
"USA Today/Gallup","3/14-16/08","685 LV",47,49,"-","-","-","-","+2D","3/14/08","3/16/08",3,75,685,"LV","Gallup"
"CNN","3/14-16/08","950 RV",46,47,"-","-","1","6","+1D","3/14/08","3/16/08",3,75,950,"RV","CNN"
"Gallup","3/12-16/08","4390 RV",46,44,"-","-","1","9","+2R","3/12/08","3/16/08",5,74,4390,"RV","Gallup"
"Zogby","3/13-14/08","1001 LV",46,40,"-","-","-","-","+6R","3/13/08","3/14/08",2,73.5,1001,"LV","Zogby"
"Rasmussen","3/10-13/08","1600 LV",45,44,"-","-","-","-","+1R","3/10/08","3/13/08",4,71.5,1600,"LV","Rasmussen"
"Gallup","3/7-11/08","4372 RV",44,46,"-","-","1","9","+2D","3/7/08","3/11/08",5,69,4372,"RV","Gallup"
"NBC/WSJ","3/7-10/08","1012 RV",44,47,"-","-","3","6","+3D","3/7/08","3/10/08",4,68.5,1012,"RV",NA
"Rasmussen","3/6-9/08","1600 LV",45,44,"-","-","-","-","+1R","3/6/08","3/9/08",4,67.5,1600,"LV","Rasmussen"
"Cook/RT","3/6-9/08","802 RV",45,43,"-","-","2","11","+2R","3/6/08","3/9/08",4,67.5,802,"RV",NA
"Newsweek","3/5-6/08","1215 RV",45,46,"-","-","-","9","+1D","3/5/08","3/6/08",2,65.5,1215,"RV",NA
"Rasmussen","3/2-5/08","1600 LV",46,44,"-","-","-","-","+2R","3/2/08","3/5/08",4,63.5,1600,"LV","Rasmussen"
"SurveyUSA","3/4/08","1041 RV",46,46,"-","-","-","-","0","3/4/08","3/4/08",1,64,1041,"RV",NA
"Cook/RT","2/28-3/2/08","802 RV",38,47,"-","-","3","12","+9D","2/28/08","3/2/08",4,60.5,802,"RV",NA
"ABC/Post","2/28-3/2/08","LV",42,53,"-","-","2","3","+11D","2/28/08","3/2/08",4,60.5,NA,"LV",NA
"Rasmussen","2/27-3/1/08","1600 LV",48,43,"-","-","-","-","+5R","2/27/08","3/1/08",4,59.5,1600,"LV","Rasmussen"
