"recipient_name","number_of_jobs","pop_latitude","pop_longitude","pop_state_cd"
"GOLDEN GATE NATIONAL PARKS CONSERVANCY",4.26,37.804207,-122.42691599,"CA"
"WASHINGTON GROUP/ALBERICI JV",4.26,37.19166601,-89.06856468,"IL"
"CHANDLER, CITY OF",4.25,33.30501792,-111.83337179,"AZ"
"CHAPPY CORPORATION, THE",4.25,41.517874,-90.53039399,"IL"
"FRIENDS OF CHILDREN OF MISSISSIPPI, INC.",4.25,32.39218484,-90.19564832,"MS"
"GARLAND COMPANY INC, THE",4.25,33.97011243,-81.01916107,"SC"
"HEALTH DELIVERY, INC.",4.25,43.43261016,-83.93534848,"MI"
"HOUSING AUTHORITYOF THE CITY AMERICUS",4.25,32.08257924,-84.22165637,"GA"
"MARSHALL, CITY OF (INC)",4.25,32.55970479,-94.39305799,"TX"
"SARASOTA MANATEE AIRPORT AUTHORITY (INC)",4.25,27.38662931,-82.55147193,"FL"
"SENTINEL CONTRACTORS, LLC",4.25,30.091164,-85.631459,"FL"
"SIOUX FALLS, CITY OF",4.25,43.55284604,-96.72837682,"SD"
"THE WORKPLACE INC",4.25,41.17792578,-73.19356912,"CT"
"FLINT HILLS COMMUNITY HEALTH CENTER",4.24,38.41589641,-96.18550208,"KS"
"CALYPTUS CONSULTING GROUP, INC.",4.23,45.52979866,-122.65461115,"OR"
"GENERAL SHIP REPAIR CORPORATION THE",4.23,39.2730087,-76.60072148,"MD"
"KONNOWAC, LLC",4.23,46.653551,-117.42164999,"WA"
"MACOUPIN COUNTY HOUSING AUTHORITY",4.23,39.28612079,-89.8878329,"IL"
"MORRISTOWN HOUSING AUTHORITY",4.23,36.22395491,-83.28779523,"TN"
"ROBERT BOSCH LLC",4.23,42.490199,-83.424284,"MI"
"FRIENDS RESEARCH INSTITUTE, INC",4.23,39.30370308,-76.6194063,"MD"
"BRISTOL BAY HEALTH CORPORATION",4.22,59.00081445,-158.53733712,"AK"
"PRINCE WILLIAM, COUNTY OF",4.22,38.67937199,-77.353387,"VA"
"DODSON CONSTRUCTION LLC",4.22,32.80949148,-96.8054039,"TX"
"GRACEMED HEALTH CLINIC, INC.",4.22,37.70350304,-97.3338815,"KS"
"INDEPENDENT FOOD PROCESSORS CORPORATION",4.22,46.31262206,-120.01501721,"WA"
"OCEAN SURVEYS, INC.",4.22,30.38921299,-87.27196967,"FL"
"PEDIATRIC THERAPY NETWORK",4.22,33.83545392,-118.31185685,"CA"
"VAN ANDEL INSTITUTE",4.22,42.9693992,-85.66656638,"MI"
"GRACE PACIFIC CORPORATION",4.21,21.32842836,-157.96206818,"HI"
"WASHINGTON, COUNTY OF INC",4.21,40.17023306,-80.24978716,"PA"
"ARROWHEAD CONTRACTING, INC.",4.2,36.978136,-90.12627499,"MO"
"CLARK, COUNTY OF",4.2,36.20835645,-115.19963104,"NV"
"COUNTY OF APACHE",4.2,34.50682842,-109.36578358,"AZ"
"DELTA COMMUNITY ACTION ASSOCIATION",4.2,32.413003,-91.18390752,"LA"
"EDIFICE GROUP, INC.",4.2,38.899022,-77.03513799,"DC"
"FEDERAL PRACTICE GROUP LLC",4.2,38.90215541,-77.03337741,"DC"
"HAMILTON, COUNTY OF",4.2,35.04074541,-85.30021531,"TN"
"HOUSING AUTHORITY FOR LA SALLE COUNTY",4.2,41.35106369,-88.83677049,"IL"
"INDUSTRIAL OPTICAL MEASUREMENT SYSTEMS",4.2,42.23254267,-83.74854,"MI"
"JOHNSTON LEE HARNETT COMMUNITY ACTION INC",4.2,35.50610468,-78.33665308,"NC"
"MADISON AIRPORT BOARD INC",4.2,37.63247699,-84.32882899,"KY"
"NATURAL RESOURCES, INDIANA DEPARTMENT OF",4.2,41.650723,-87.062562,"IN"
"RURAL HEALTH CORPORATION OF NORTHEASTERN PENNSYLVANIA",4.2,41.25941017,-75.82035927,"PA"
"RYCARS CONSTRUCTION, LLC",4.2,31.5749549,-91.45991883,"LA"
"TRADE WEST CONSTRUCTION, INC",4.2,21.338568,-157.88865,"HI"
"WISE COUNTY REDEVELOPMENT & HOUSING AUTHORITY",4.2,36.95206185,-82.47286052,"VA"
"HEALTH, VIRGINIA STATE DEPARTMENT OF",4.2,37.53702054,-77.43139036,"VA"
"OPELIKA HOUSING AUTHORITY",4.19,32.645283,-85.374076,"AL"
"STATE PARKS AND CULTURAL RESOURCES, WYOMING DEPT OF",4.19,41.13909678,-104.81949458,"WY"
"WAIMANALO HEALTH CENTER",4.18,21.3473894,-157.7161522,"HI"
"ALLIED ARTS OF GREATER CHATTANOOGA",4.17,35.06143881,-85.30469393,"TN"
"KODIAK AREA NATIVE ASSOCIATION",4.17,57.80587899,-152.356166,"AK"
"WESTMORELAND COUNTY HOUSING AUTHORITY",4.17,40.10367924,-79.59452042,"PA"
"AARON E. HENRY COMMUNITY HEALTH SERVICES CENTER, INC.",4.16,34.19971003,-90.60795942,"MS"
"CH2M HILL INC",4.16,35.901503,-77.53742,"NC"
"COMMUNITY HEALTH AND SOCIAL SERVICES CENTER, INC.",4.16,42.30907504,-83.09644466,"MI"
"COMMUNITY HEALTH CENTER OF CENTRAL WYOMING, INC",4.16,42.8401983,-106.30747101,"WY"
"CROW TRIBE OF INDIANS",4.16,45.643971,-107.471102,"MT"
"GULFPORT, CITY OF",4.16,30.36922377,-89.09035749,"MS"
"HURON POTAWATOMI, INC.",4.16,42.11326563,-85.26525385,"MI"
"MANTECA, CITY OF",4.16,37.79919928,-121.23107632,"CA"
"NORTHWEST INUPIAT HOUSING AUTHORITY",4.16,66.898878,-162.566517,"AK"
"HOUSING TRUST FUND CORPORATION",4.15,42.646962,-73.75165399,"NY"
"WOODLAND, CITY OF",4.15,38.6748068,-121.76774158,"CA"
"CITY OF ROME",4.14,43.21340228,-75.45802147,"NY"
"MARION, CITY OF",4.14,40.55877672,-85.6572643,"IN"
"PALM BEACH COUNTY HOUSING AUTHORITY",4.14,26.704149,-80.135898,"FL"
"ANCHOR QEA, LLC",4.13,47.560953,-122.33945599,"WA"
"COMMUNITY HEALTH CENTER OF FRANKLIN COUNTY",4.13,42.587729,-72.574361,"MA"
"FAYETTEVILLE, CITY OF",4.13,35.05436114,-78.88444295,"NC"
"PALO ALTO RESEARCH CENTER INCORPORATED",4.13,37.40255391,-122.14812782,"CA"
"CHICOPEE HOUSING AUTHORITY",4.12,42.16760156,-72.61850684,"MA"
"SOCIAL SERVICES, SOUTH CAROLINA DEPARTMENT OF",4.12,34.0204167,-81.03765122,"SC"
"16TH STREET COMMUNITY HEALTH CENTER, INC.",4.11,42.99116731,-87.93842014,"WI"
"GALVESTON, CITY OF",4.11,29.30034189,-94.79474609,"TX"
"HOUSING & REDEVELOPMENT AUTHORITY",4.11,46.43829869,-95.13560093,"MN"
"SHAW ENVIRONMENTAL & INFRASTRUCTURE, INC.",4.11,36.3202828,-88.27401245,"TN"
"X-NTH, INC.",4.11,39.01265699,-77.03894799,"MD"
"CAPITAL PARK FAMILY HEALTH CENTER",4.1,39.95740189,-82.87560714,"OH"
"CLAFLIN UNIVERSITY",4.1,33.48292761,-80.85362673,"SC"
"COPPERAS COVE INDEPENDENT SCHOOL DISTRICT",4.1,31.12563853,-97.91341918,"TX"
"ENVIRO-MANAGEMENT & RESEARCH INC",4.1,38.780339,-77.239347,"VA"
"GRANITE FALLS, CITY OF",4.1,44.80945033,-95.53895592,"MN"
"HOUSING AUTHORITY, CITY OF MILLVILLE",4.1,39.37984083,-75.02695608,"NJ"
"NEIGHBORHOODS, INC OF BATTLE CREEK",4.1,42.360671,-85.28207,"MI"
"PERRIS, CITY OF",4.1,33.78760506,-117.22608155,"CA"
"PUYALLUP TRIBE OF INDIANS",4.1,47.235807,-122.399084,"WA"
"SOKAOGAN CHIPPEWA COMMUNITY",4.1,45.48467742,-88.96376619,"WI"
"HEALTHEON, INC.",4.09,29.15038599,-90.18951399,"LA"
"NORTH LAS VEGAS HOUSING AUTHORITY",4.09,36.16919636,-115.13186795,"NV"
"ASHLAND, CITY OF",4.08,38.4807488,-82.63952049,"KY"
"HOPES INC",4.08,40.73876505,-74.03629013,"NJ"
"TISHMAN/AECOM, A JOINT VENTURE",4.08,38.85603047,-76.99603629,"DC"
"EAGLE VALLEY SOIL AND WATER CONSERVATION DISTRICT",4.07,44.743667,-117.169784,"OR"
"HOPKINSVILLE, CITY OF",4.07,36.87013136,-87.48594155,"KY"
"NATIONAL ASSOCIATION OF COUNTY AND CITY HEALTH OFFICIALS",4.07,38.90399003,-77.03871939,"DC"
"YAKAMA TRIBAL COUNCIL",4.07,46.44687578,-120.43814882,"WA"
"COMPUTER SCIENCES CORPORATION",4.06,30.370022,-89.629603,"MS"
"EARTHGENES PHARMACEUTICALS LLC",4.06,42.36786906,-71.19990036,"MA"
"BAD RIVER HOUSING AUTHORITY",4.05,46.609344,-90.68373999,"WI"
"BISMARCK PUBLIC SCHOOLS",4.05,46.81301952,-100.79430273,"ND"
"EASTERN PANHANDLE TRANSIT AUTHORITY INC",4.05,39.39371714,-77.99135378,"WV"
"PALO ALTO MEDICAL FOUNDATION FOR HEALTH CARE, RESEARCH AND EDUCATION (INC)",4.05,37.44018155,-122.16114101,"CA"
"SOUTHBRIDGE MEDICAL ADVISORY COUNCIL INC",4.05,39.72749921,-75.54376738,"DE"
"UNCOMPAHGRE COMBINED CLINICS",4.05,38.130755,-108.29056,"CO"
"UNIVERSITY CORPORATION, THE",4.05,34.23553512,-118.52768065,"CA"
"USKH INC.",4.05,61.19733777,-149.88280551,"AK"
"BULLHOOK COMMUNITY HEALTH CENTER",4.04,48.55229363,-109.67854122,"MT"
"COUNTY OF NASSAU",4.04,30.61923599,-81.639393,"FL"
"GOODY, CLANCY & ASSOCIATES, INC.",4.04,38.900945,-77.00642,"DC"
"SOUTH CAROLINA STATE HOUSING FINANCE AND DEVELOPMENT AUTHORITY",4.04,34.02986455,-81.12665489,"SC"
"SOUTH DAKOTA NETWORK, LLC",4.04,43.54595199,-96.76429199,"SD"
"SPARTANBURG, COUNTY OF",4.04,34.95569436,-81.93597361,"SC"
"BRIGHAM YOUNG UNIVERSITY",4.03,40.248632,-111.649308,"UT"
"BURLINGTON, CITY OF",4.03,44.4823227,-73.22110637,"VT"
"FAMILY SERVICES GRANT COUNTY",4.03,47.17838003,-119.32359911,"WA"
"OZARK HOUSING AUTHORITY",4.03,31.45655,-85.646108,"AL"
"PLEASANT POINT INDIAN RESERVATION",4.03,44.980614,-67.112523,"ME"
"TOWNSHIP OF PENNSAUKEN (INC)",4.03,39.96440761,-75.04850175,"NJ"
"SULPHUR, CITY OF",4.02,30.23997099,-93.366289,"LA"
"MORGAN, COUNTY OF",4.01,33.595009,-83.467214,"GA"
"OKLAHOMA, STATE OF",4.01,34.60503522,-98.39524674,"OK"
"SOUTHWEST COMMUNITY HEALTH CENTER",4.01,38.42722226,-122.7484639,"CA"
"AB CONSULTANTS, INC",4,38.965054,-76.84165995,"MD"
"ABECO CONTRACTING INC.",4,35.43319299,-97.38983299,"OK"
"ABERDEEN HOUSING AUTHORITY",4,45.46213362,-98.45630749,"SD"
"ACQUISITION SOLUTIONS INC",4,38.90048268,-77.04045508,"DC"
"ACRO CONSTRUCTION, LLC",4,28.06416483,-82.4278347,"FL"
"ACTIVE SPECTRUM INC",4,37.51465799,-122.264846,"CA"
"AFL-CIO APPALACHIAN COUNCIL, INC.",4,38.34974549,-81.62908752,"WV"
"AIKEN, CITY OF",4,33.56470931,-81.72116115,"SC"
"AIRGO USA LLC",4,40.52480685,-98.06583525,"NE"
"ALAMOGORDO, CITY OF",4,32.89035799,-105.93872299,"NM"
"ALEUT INTERNATIONAL ASSOCIATION",4,61.2186607,-149.88858815,"AK"
"ALL COAST CONSTRUCTION & EXCAVATION INC",4,43.434181,-121.713141,"OR"
"ALLEN PARK HOUSING COMMISSION",4,42.24941131,-83.22199759,"MI"
"ALLIANCE ROOFING LLC",4,41.76974263,-72.68022712,"CT"
"ALLIED TECHNOLOGY GROUP, INC.",4,38.903734,-77.05066999,"DC"
"ALPINE HOUSING AUTHORITY",4,30.36556444,-103.66481348,"TX"
"APPLETON HOUSING AUTHORITY",4,44.26606616,-88.40597522,"WI"
"APPLIED SCIENCES, INC",4,39.73991956,-83.80900065,"OH"
"ARG CONSERVATION SERVICES",4,34.063453,-118.461769,"CA"
"ASHLAND COUNTY HOUSING AUTHORITY",4,46.0165552,-90.49329613,"WI"
"ASSOCIATED CATHOLIC CHARITIES INC.",4,39.58365142,-76.98661278,"MD"
"ASSOCIATED FACILITY SOLUTIONS, INC.",4,33.47437485,-81.98521153,"GA"
"ASSOCIATES FOR HUMAN SERVICES, INC.",4,41.87529595,-71.06463363,"MA"
"ATOKA, CITY OF",4,34.39439071,-96.14060246,"OK"
"BANGOR, CITY OF",4,44.79664973,-68.77375773,"ME"
"BARANOF ISLAND HOUSING AUTHORITY",4,57.05255428,-135.33054806,"AK"
"BARNARD COLLEGE (INC)",4,40.80878107,-73.96411723,"NY"
"BARNESVILLE HOUSING AUTHORITY",4,33.0623327,-84.16060552,"GA"
"BERKELEY EDUCATIONAL SERVICES OF NEW JERSEY, INC.",4,40.75398538,-73.9794147,"NY"
"BERKELEY, COUNTY OF",4,39.45445401,-77.96844232,"WV"
"BERNALILLO, TOWN OF",4,35.305781,-106.547986,"NM"
"BLACKSTONE VALLEY COMMUNITY HEALTH CARE INC",4,41.87633927,-71.38633654,"RI"
"BLAND COUNTY MEDICAL CLINIC INC",4,37.15503187,-81.33930948,"VA"
"BREVARD COMMUNITY COLLEGE",4,28.38500696,-80.75676846,"FL"
"BRISTOL COMMUNITY COLLEGE",4,41.7194952,-71.12354473,"MA"
"BRISTOL, VIRGINIA, CITY OF",4,36.599049,-82.18046499,"VA"
"BUILDING MECHANICAL SERVICES CORP",4,18.46489894,-66.11269145,"PR"
"BULLOCK TICE ASSOCIATES, INC.",4,30.691139,-88.04051699,"AL"
"C & C ELECTRICAL CONTRACTOR, INC",4,21.32611144,-157.87226551,"HI"
"C3 SOLUTIONS LLC",4,38.64184399,-90.22964399,"MO"
"CALIFORNIA STATE UNIVERSITY, SAN MARCOS",4,33.13160799,-117.16445899,"CA"
"CAREY SERVICES INC",4,40.53633862,-85.67078836,"IN"
"CARNEGIE INSTITUTION OF WASHINGTON",4,39.332473,-76.61795,"MD"
"CASWELL FAMILY MEDICAL CENTER INC., THE",4,36.41809606,-79.3532224,"NC"
"CENTER HOUSING AUTHORITY",4,37.75632667,-106.10885763,"CO"
"CENTRAL NORTH ALABAMA HEALTH SERVICES, INC.",4,34.727757,-86.593019,"AL"
"CENTRAL TERRITORIAL OF THE SALVATION ARMY",4,41.26803319,-95.96667306,"NE"
"CFR ENGINEERING CONSULTANTS, INC",4,39.27119606,-77.18986606,"MD"
"CHEVRON U.S.A. INC.",4,40.915638,-74.580602,"NJ"
"CHILDREN'S HOSPITAL",4,29.91760391,-90.12704893,"LA"
"CITADELL CONSTRUCTION COMPANY, INC.",4,41.076329,-75.791259,"PA"
"CITY OF BREMERTON",4,47.56501832,-122.63332009,"WA"
"CITY OF FAIRMONT",4,39.48686378,-80.14078406,"WV"
"CITY OF MEXICO",4,39.16516193,-91.87721533,"MO"
"CLARENDON, TOWN OF",4,43.19115667,-78.05939795,"NY"
"CLARK BOAT CO., INC.",4,42.25388391,-90.44182974,"IA"
"CLARKSVILLE TRANSIT SYSTEMS",4,36.51617313,-87.33527314,"TN"
"CLERMONT, COUNTY OF",4,39.09358901,-84.18891042,"OH"
"COAHOMA COMMUNITY COLLEGE",4,34.26210622,-90.57213985,"MS"
"COALGATE, CITY OF",4,34.537378,-96.218588,"OK"
"COLBY COLLEGE (INC)",4,44.56728437,-69.65262514,"ME"
"COLEMAN CONSTRUCTION, INC.",4,32.62157365,-83.59960634,"GA"
"COLLINGSWOOD HOUSING AUTHORITY",4,39.91671657,-75.06708174,"NJ"
"COLUMBIA COUNTY HOSPITAL DISTRICT",4,46.31243223,-117.96869632,"WA"
"COMMERCE CITY, CITY OF",4,39.80569569,-104.89677037,"CO"
"COMMUNITY ACTION PARTNERSHIP",4,46.87488126,-102.78543815,"ND"
"COMMUNITY HEALTH CENTERS OF WESTERN KENTUCKY, INC.",4,37.197546,-87.191959,"KY"
"COMMUNITY POWER CORPORATION",4,39.57014484,-105.12628206,"CO"
"COMMUNITY SERVICE COUNSEL OF GREATER TULSA",4,36.15120127,-95.99163438,"OK"
"COMMUNITY SERVICES VENANGO COUNTY",4,41.65536816,-80.17342368,"PA"
"COMPLETE BUILDING CORPORATION",4,40.356882,-74.597862,"NJ"
"CONTROL SERVICES INC",4,41.99498918,-91.52489362,"IA"
"COPPERAS COVE, CITY OF INC",4,31.11247933,-97.91478275,"TX"
"CORLEY LOGGING, LLC",4,45.134174,-118.93114,"OR"
"CORRIGAN HOUSING AUTHORITY",4,30.99375427,-94.82721797,"TX"
"COUNTY OF HAWAII",4,19.71542569,-155.08551835,"HI"
"COUNTY OF NEW CASTLE",4,39.70942284,-75.56676305,"DE"
"COUNTY OF UNION",4,45.32120853,-118.09520915,"OR"
"CREATIVE THERMAL SOLUTIONS",4,40.13521857,-88.20079404,"IL"
"CREEK, COUNTY OF",4,35.99765299,-96.10990999,"OK"
"CROSS TRAILS MEDICAL CENTER",4,37.29961003,-89.55625169,"MO"
"CROW CREEK SIOUX TRIBAL SCHOOLS, INC",4,44.254103,-99.44212199,"SD"
"CUSTOM STEEL STRUCTURES, INC",4,32.01069599,-97.12605799,"TX"
"CYPRESS HILLS CHILD CARE CORP",4,40.68321179,-73.8738183,"NY"
"D'YOUVILLE COLLEGE",4,42.90225497,-78.89042565,"NY"
"DAEDALUS INC",4,35.688364,-80.489625,"NC"
"DAMON PURSELL CONSTRUCTION COMPANY",4,39.249348,-94.453225,"MO"
"DANDEL CONSTRUCTION INC",4,41.74248277,-70.6187201,"MA"
"DAWSON HOUSING AUTHORITY",4,31.887254,-96.643098,"TX"
"DREXEL TOWERS LLC",4,41.805604,-87.603797,"IL"
"DUNKIRK, CITY OF",4,42.4821,-79.328822,"NY"
"DVC, INC.",4,34.77892579,-92.29620325,"AR"
"E LARSEN CO",4,46.272096,-89.19791799,"MI"
"E S & J ENTERPRISES, INC.",4,35.06247187,-78.62457157,"NC"
"EAGLE GROUP INC",4,48.263554,-120.667466,"WA"
"EAST GEORGIA HEALTHCARE CENTER, INC.",4,32.59681997,-82.33385966,"GA"
"EASTERN PLAINS COMMUNITY ACTION AGENCY",4,35.17803548,-103.72756429,"NM"
"ECHOTA TECHNOLOGIES CORPORATION",4,39.01337896,-94.51113098,"MO"
"ECOANALYSTS INC",4,39.718208,-105.120276,"CO"
"EDNA HOUSING AUTHORITY",4,28.98265645,-96.64635555,"TX"
"EDWARD E. GILLEN COMPANY",4,44.846517,-87.370302,"WI"
"EDWARDS ROOFING",4,41.94492823,-71.91130148,"CT"
"EIGHT NORTHERN INDIAN PUEBLOS COUNCIL INC",4,36.08831618,-106.05756599,"NM"
"ELIZABETHTON HOUSING & DEVELOPMENT AGENCY, INC",4,36.33785942,-82.21212192,"TN"
"ELLICOTT DREDGES, LLC",4,39.27629063,-76.63316678,"MD"
"ELMBROOK CORPORATE SERVICES INC",4,32.82470801,-96.86513688,"TX"
"EMERALD RESOURCE, LLC",4,34.461216,-86.341907,"AL"
"EMERGENCY PLANNING MANAGEMENT INC.",4,38.49465461,-90.28364645,"MO"
"ENCRYPTOR INC",4,33.02538273,-96.78809196,"TX"
"EVANS, COUNTY OF",4,32.16203427,-81.90609601,"GA"
"EXETER HOUSING AUTHORITY",4,42.98383636,-70.95077689,"NH"
"FACILITY SITE CONTRACTORS, INC.",4,39.105132,-76.764936,"MD"
"FASTCAP SYSTEMS CORPORATION",4,42.3628545,-71.08375965,"MA"
"FEDCAP REHABILITATION SERVICES, INC.",4,40.71481127,-74.00318453,"NY"
"FIRSTSTRING RESEARCH, INC",4,32.78931069,-79.93019259,"SC"
"FOUR DIRECTIONS DEVELOPMENT CORP",4,44.89902356,-68.68351411,"ME"
"FOURTH CIRCUIT DRUG TASK FORCE",4,32.63332292,-87.31901532,"AL"
"FOWLER GENERAL CONSTRUCTION, INC.",4,46.24678799,-118.882046,"WA"
"FRIENDS OF THE NORTH CAROLINA",4,35.78252048,-78.63909946,"NC"
"FULL CIRCLE PROPERTY MANAGEMENT, INC.",4,43.899114,-122.741909,"OR"
"GEOTECHNICAL CONSTRUCTION, INC",4,39.405858,-88.804558,"IL"
"GLOBAL DIVING & SALVAGE, INC.",4,47.56885809,-122.35488895,"WA"
"GLOUCESTER TOWNSHIP (INC)",4,39.7907845,-75.07227083,"NJ"
"GOVERNORS STATE UNIVERSITY",4,41.441511,-87.706486,"IL"
"GRANTSVILLE, CITY OF",4,40.59972099,-112.444359,"UT"
"GREENWOOD, COUNTY OF",4,34.18791684,-82.16351117,"SC"
"GRUBB, RICHARD & ASSOCIATES INC",4,39.048439,-76.806004,"MD"
"GUILFORD COLLEGE",4,36.09479579,-79.88484878,"NC"
"HAILEYVILLE HOUSING AUTHORITY",4,34.854539,-95.580879,"OK"
"HAMILTON ROOFING INC",4,27.9668492,-80.61370432,"FL"
"HARPER-LEAVITT ENGINEERING INC",4,43.222549,-112.372434,"ID"
"HARTSHORNE HOUSING AUTHORITY",4,34.845492,-95.557866,"OK"
"HELENA CHEMICAL COMPANY",4,40.392595,-78.115066,"PA"
"HIGH POINT UNIVERSITY",4,35.96872862,-79.99415071,"NC"
"HINESVILLE HOUSING AUTHORITIES",4,31.84851199,-81.60617799,"GA"
"HODGES UNIVERSITY, INC.",4,26.27784499,-81.737923,"FL"
"HOENE, KENNETH F",4,39.419954,-88.803863,"IL"
"HOLLYWOOD, CITY OF (INC)",4,26.01063984,-80.17388948,"FL"
"HOPI CREDIT ASSOCIATION",4,35.79502,-110.203839,"AZ"
"HOUSE OF RAEFORD FARMS, INC.",4,34.97883451,-79.2195229,"NC"
"HOUSING AUTHORITY OF ARKANSAS COUNTY",4,34.2910965,-91.33519628,"AR"
"HOUSING AUTHORITY OF BELLVILLE INC",4,29.94919708,-96.26207925,"TX"
"HOUSING AUTHORITY OF GREENVILLE (INC)",4,34.83809456,-82.4062403,"SC"
"HOUSING AUTHORITY OF LIBERTY",4,37.32396281,-84.92707534,"KY"
"HOUSING AUTHORITY OF PIKE COUNTY",4,39.695817,-91.041522,"IL"
"HOUSING AUTHORITY OF THE CITY OF CEDARTOWN GEORGIA",4,34.00576964,-85.25755147,"GA"
"HOUSING AUTHORITY OF THE CITY OF COLORADO SPRINGS, THE",4,38.82220568,-104.82172665,"CO"
"HOUSING AUTHORITY OF THE CITY OF CRYSTAL CITY",4,28.69353604,-99.82605752,"TX"
"HOUSING AUTHORITY OF THE CITY OF HAZLETON",4,40.95130711,-75.98155535,"PA"
"HOUSING AUTHORITY OF THE CITY OF LUXORA",4,35.75443802,-89.92945066,"AR"
"HOUSING AUTHORITY OF THE CITY OF NEWPORT (AR028)",4,35.61359175,-91.25929271,"AR"
"HOUSING AUTHORITY OF THE CITY OF PARIS",4,33.65388499,-95.568328,"TX"
"HOUSING AUTHORITY OF THE CITY OF PASSAIC INC, THE",4,40.86068199,-74.120859,"NJ"
"HOUSING AUTHORITY OF THE CITY OF PIEDMONT ALABAMA INC, THE",4,33.92863391,-85.6022895,"AL"
"HOUSING AUTHORITY OF THE CITY OF THIBODAUX INC",4,29.78560107,-90.83985897,"LA"
"HOUSING AUTHORITY OF THE COUNTY OF CLALLAM",4,48.1027431,-123.42944569,"WA"
"HOUSING AUTHORITY OF THE COUNTY OF HIDALGO",4,26.199715,-98.15375399,"TX"
"HOUSING AUTHORITY OF THE COUNTY OF SANTA BARBARA (INC)",4,34.866763,-120.44465499,"CA"
"HOUSING AUTHORITY OF THE TOWN OF MORRISTOWN",4,40.80253977,-74.48404228,"NJ"
"HOUSING AUTHORITY OF TODD COUNTY",4,36.65066034,-87.17952749,"KY"
"HOUSING AUTHORITY VILLAGE OF FENTON",4,30.365012,-92.916727,"LA"
"HP ENTERPRISE SERVICES, LLC",4,39.01337896,-94.51113098,"MO"
"HSU DEVELOPMENT, INC.",4,38.92773566,-77.04737936,"DC"
"HUSSON UNIVERSITY",4,44.82460776,-68.79079419,"ME"
"HUTCHENS CONSTRUCTION CO",4,36.34579,-94.06770399,"AR"
"ICY STRAITS LUMBER AND MILLING, INC.",4,58.015099,-135.692929,"AK"
"INNOVATIVE FEDERAL OPERATIONS GROUP, L.L.C.",4,32.71414536,-117.16515533,"CA"
"IREDELL, COUNTY OF",4,35.78843275,-80.88704426,"NC"
"IT''S MY COMMUNITY INTIATIVE, INC.",4,35.53742298,-97.51843138,"OK"
"JAMCO VENTURES LLC",4,29.35931199,-100.79324199,"TX"
"JAMES R JACKSON & RUE M JACKSON PARTNERS",4,29.961438,-90.033247,"LA"
"JJ CONSTRUCTION",4,18.37505399,-65.722797,"PR"
"JOHN B. HENRY & ASSOCIATES, INC.",4,42.10304533,-80.06437594,"PA"
"JOHNSON CONTROLS FEDERAL SYSTEMS/ VERSAR JOINT VENTURE",4,39.80696799,-84.04842099,"OH"
"JUILLIARD SCHOOL, THE",4,40.77449899,-73.98369199,"NY"
"JUNCTION INCORPORATED",4,42.29144732,-71.35638066,"MA"
"K R ENVIRONMENTAL SERVICES INC",4,34.05423528,-118.2399472,"CA"
"KALIMEX INCORPORATED",4,39.22166599,-74.69155799,"NJ"
"KANATAK TRIBAL COUNCIL",4,61.59273384,-149.39441738,"AK"
"KANAWHA COUNTY SCHOOLS HEAD START",4,38.37214531,-81.72275896,"WV"
"KENNEDY, LT. JOSEPH P. INSTITUTE",4,38.94624688,-76.99618379,"DC"
"KINSTON COMMUNITY HEALTH CTR INC",4,35.26273925,-77.58118766,"NC"
"KITTITAS, CITY OF",4,46.98299,-120.417601,"WA"
"KLAMATH HEALTH PARTNERS INC",4,42.21580424,-121.76601454,"OR"
"KLINE MULTIPRODUCTS, INC.",4,46.421738,-117.040663,"WA"
"KODAT FARMS & EXCAVATION",4,41.294103,-88.138183,"IL"
"LA CLINICA DE LOS CAMPESINOS, INC",4,44.07059506,-89.27739574,"WI"
"LAFOURCHE, PARISH OF",4,29.679105,-90.53642899,"LA"
"LAKE CONTRACTING, INC.",4,38.000651,-88.929112,"IL"
"LAKE COUNTY COMMUNITY COLLEGE DISTRICT (INC)",4,41.63744336,-81.36556451,"OH"
"LAKE SUPERIOR STATE UNIVERSITY",4,46.493746,-84.359526,"MI"
"LAKE VILLAGE, CITY OF",4,33.337345,-91.281688,"AR"
"LDH ELECTRICAL CONTRACTOR INC",4,39.40707829,-77.97690487,"WV"
"LEE, COUNTY OF (INC)",4,35.486902,-79.162682,"NC"
"LEMKE INDUSTRIAL MACHINE, INC.",4,44.93804558,-89.76230961,"WI"
"LEWIS UNIVERSITY",4,41.60550902,-88.07855528,"IL"
"LIFETYME BOATS, INC.",4,31.57431788,-91.99036738,"LA"
"LINDBERGH & ASSOCIATES, LLC",4,33.213329,-87.56512899,"AL"
"LINE AND SPACE LLC",4,32.23632657,-110.9617129,"AZ"
"LIVING INDEPENDENCE FOR EVERYONE",4,32.3052265,-90.16951951,"MS"
"LOGAN COUNTY METROPOLITAN HOUSING AUTHORITY",4,40.36261499,-83.768708,"OH"
"LOGISTICS APPLICATIONS INC.",4,38.88561688,-77.02658754,"DC"
"LOGISTICS SUPPORT INCORPORATED",4,36.85593799,-76.304698,"VA"
"LUTHERAN UNIVERSITY ASSOCIATION, INC., THE",4,41.46330534,-87.04035663,"IN"
"M - W ELECTRIC, INC.",4,35.358768,-77.96083099,"NC"
"M & M SALES, INC.",4,38.883171,-77.02407199,"DC"
"MAGNUM PRODUCTS, LLC",4,43.98311,-88.938959,"WI"
