"","id","lnw","exper","ged","postexp","black","hispanic","hgc","hgc.9","uerate","ue.7","ue.centert1","ue.mean","ue.person.cen","ue1"
"1284","1284  ",1.705,6.967,"0  ",0,"0  ","0  ","9  ",0,4.795,-2.205,-0.7,6.113,-1.318,5.495
"1300","1300  ",1.532,0.38,"0  ",0,"0  ","0  ","7  ",-2,16.1,9.1,0,9.631,6.469,16.1
"1300","1300  ",1.491,0.605,"0  ",0,"0  ","0  ","7  ",-2,17.1,10.1,1,9.631,7.469,16.1
"1300","1300  ",2.624,1.465,"0  ",0,"0  ","0  ","7  ",-2,6.495,-0.505,-9.605,9.631,-3.136,16.1
"1300","1300  ",2.681,2.253,"0  ",0,"0  ","0  ","7  ",-2,5.295,-1.705,-10.805,9.631,-4.336,16.1
"1300","1300  ",2.015,3.35,"0  ",0,"0  ","0  ","7  ",-2,8.4,1.4,NA,9.631,-1.231,16.1
"1300","1300  ",2.793,4.205,"0  ",0,"0  ","0  ","7  ",-2,4.395,-2.605,-11.705,9.631,-5.236,16.1
"1314","1314  ",1.576,0.201,"0  ",0,"1  ","0  ","8  ",-1,7.6,0.6,0,6.785,0.815,7.6
"1314","1314  ",1.535,0.616,"0  ",0,"1  ","0  ","8  ",-1,8,1,0.4,6.785,1.215,7.6
"1314","1314  ",1.783,0.776,"0  ",0,"1  ","0  ","8  ",-1,4.895,-2.105,-2.705,6.785,-1.89,7.6
"1314","1314  ",1.565,1.001,"0  ",0,"1  ","0  ","8  ",-1,5.895,-1.105,-1.705,6.785,-0.89,7.6
"1314","1314  ",2.636,1.009,"0  ",0,"1  ","0  ","8  ",-1,8.6,NA,1,6.785,1.815,7.6
"1314","1314  ",1.355,2.124,"0  ",0,"1  ","0  ","8  ",-1,7.5,0.5,-0.1,6.785,0.715,7.6
"1314","1314  ",1.756,3.301,"0  ",0,"1  ","0  ","8  ",-1,6.095,-0.905,-1.505,6.785,-0.69,7.6
"1314","1314  ",1.462,3.981,"0  ",0,"1  ","0  ","8  ",-1,5.695,-1.305,-1.905,6.785,-1.09,7.6
"1316","1316  ",1.846,0.904,"0  ",0,"0  ","0  ","9  ",0,7.1,0.1,0,8.389,-1.289,7.1
"1316","1316  ",2.21,1.942,"0  ",0,"0  ","0  ","9  ",0,9.1,2.1,2,8.389,0.711,7.1
"1316","1316  ",2.626,2.882,"0  ",0,"0  ","0  ","9  ",0,11.8,4.8,4.7,8.389,3.411,7.1
"1316","1316  ",2.456,3.81,"0  ",0,"0  ","0  ","9  ",0,15.2,8.2,8.1,8.389,6.811,7.1
"1316","1316  ",3.124,4.81,"0  ",0,"0  ","0  ","9  ",0,11.1,4.1,4,8.389,2.711,7.1
"1316","1316  ",2.224,5.829,"0  ",0,"0  ","0  ","9  ",0,7.8,0.8,0.7,8.389,-0.589,7.1
"1316","1316  ",2.421,7.002,"0  ",0,"0  ","0  ","9  ",0,8.389,1.389,1.289,8.389,0,7.1
"1316","1316  ",2.309,7.983,"0  ",0,"0  ","0  ","9  ",0,7.4,0.4,0.3,8.389,-0.989,7.1
"1316","1316  ",2.113,9.464,"0  ",0,"0  ","0  ","9  ",0,5.695,-1.305,-1.405,8.389,-2.694,7.1
"1316","1316  ",2.199,10.391,"0  ",0,"0  ","0  ","9  ",0,5.795,-1.205,-1.305,8.389,-2.594,7.1
"1316","1316  ",2.42,11.276,"0  ",0,"0  ","0  ","9  ",0,5.495,-1.505,-1.605,8.389,-2.894,7.1
"1316","1316  ",3.833,11.456,"0  ",0,"0  ","0  ","9  ",0,5.795,-1.205,-1.305,8.389,-2.594,7.1
"1317","1317  ",1.571,0.755,"0  ",0,"0  ","0  ","7  ",-2,9.1,2.1,0,6.872,2.227,9.1
"1317","1317  ",1.987,1.736,"0  ",0,"0  ","0  ","7  ",-2,6.872,-0.127,-2.227,6.872,0,9.1
"1317","1317  ",1.987,2.276,"0  ",0,"0  ","0  ","7  ",-2,6.872,-0.127,-2.227,6.872,0,9.1
"1317","1317  ",2.038,3.237,"0  ",0,"0  ","0  ","7  ",-2,6.872,-0.127,-2.227,6.872,0,9.1
"1317","1317  ",2.331,4.449,"0  ",0,"0  ","0  ","7  ",-2,7.8,0.8,-1.3,6.872,0.928,9.1
"1317","1317  ",2.126,5.333,"0  ",0,"0  ","0  ","7  ",-2,7.9,0.9,-1.2,6.872,1.028,9.1
"1317","1317  ",2.498,6.622,"0  ",0,"0  ","0  ","7  ",-2,7.4,0.4,-1.7,6.872,0.527,9.1
"1317","1317  ",2.719,7.699,"0  ",0,"0  ","0  ","7  ",-2,5.695,-1.305,-3.405,6.872,-1.178,9.1
"1317","1317  ",2.961,8.699,"0  ",0,"0  ","0  ","7  ",-2,5.795,-1.205,-3.305,6.872,-1.077,9.1
"1317","1317  ",1.975,9.699,"0  ",0,"0  ","0  ","7  ",-2,5.495,-1.505,-3.605,6.872,-1.378,9.1
"1317","1317  ",2.223,10.872,"0  ",0,"0  ","0  ","7  ",-2,5.795,-1.205,-3.305,6.872,-1.077,9.1
"1329","1329  ",1.786,1.665,"0  ",0,"0  ","0  ","9  ",0,15.2,8.2,0,8.02,7.18,15.2
"1329","1329  ",1.75,2.075,"0  ",0,"0  ","0  ","9  ",0,11.1,4.1,-4.1,8.02,3.08,15.2
"1329","1329  ",1.656,2.206,"0  ",0,"0  ","0  ","9  ",0,7.8,0.8,-7.4,8.02,-0.22,15.2
"1329","1329  ",2.819,3.475,"0  ",0,"0  ","0  ","9  ",0,7.9,0.9,-7.3,8.02,-0.12,15.2
"1329","1329  ",2.442,4.841,"0  ",0,"0  ","0  ","9  ",0,7.4,0.4,-7.8,8.02,-0.62,15.2
"1329","1329  ",2.763,5.456,"0  ",0,"0  ","0  ","9  ",0,5.695,-1.305,-9.505,8.02,-2.325,15.2
"1329","1329  ",1.372,5.956,"0  ",0,"0  ","0  ","9  ",0,5.795,-1.205,NA,8.02,-2.225,15.2
"1329","1329  ",2.303,6.956,"0  ",0,"0  ","0  ","9  ",0,5.495,-1.505,-9.705,8.02,-2.525,15.2
"1329","1329  ",1.663,8.052,"0  ",0,"0  ","0  ","9  ",0,5.795,-1.205,-9.405,8.02,-2.225,15.2
"1330","1330  ",1.856,2.022,"0  ",0,"0  ","0  ","7  ",-2,11.1,4.1,0,7.214,3.886,11.1
"1330","1330  ",1.645,2.122,"0  ",0,"0  ","0  ","7  ",-2,7.8,NA,-3.3,7.214,0.586,11.1
"1330","1330  ",3.002,4.341,"0  ",0,"0  ","0  ","7  ",-2,7.4,0.4,NA,7.214,0.186,11.1
"1330","1330  ",1.824,5.249,"0  ",0,"0  ","0  ","7  ",-2,5.695,-1.305,-5.405,7.214,-1.519,11.1
"1330","1330  ",1.318,6.23,"0  ",0,"0  ","0  ","7  ",-2,5.795,-1.205,-5.305,7.214,-1.419,11.1
"1330","1330  ",1.597,7.192,"0  ",0,"0  ","0  ","7  ",-2,5.495,-1.505,-5.605,7.214,-1.719,11.1
"1383","1383  ",1.831,0.928,"0  ",0,"1  ","0  ","10  ",1,9.1,NA,0,8.462,0.638,9.1
"1383","1383  ",1.596,1.768,"0  ",0,"1  ","0  ","10  ",1,11.8,4.8,NA,8.462,3.338,9.1
"1383","1383  ",1.668,2.73,"0  ",0,"1  ","0  ","10  ",1,15.2,8.2,6.1,8.462,6.738,9.1
"1383","1383  ",1.7,3.588,"0  ",0,"1  ","0  ","10  ",1,11.1,4.1,2,8.462,2.638,9.1
"1383","1383  ",2.63,4.607,"0  ",0,"1  ","0  ","10  ",1,7.8,0.8,-1.3,8.462,-0.662,9.1
"1383","1383  ",2.044,5.703,"0  ",0,"1  ","0  ","10  ",1,7.9,0.9,-1.2,8.462,-0.562,9.1
"1383","1383  ",2.097,6.761,"0  ",0,"1  ","0  ","10  ",1,7.4,0.4,-1.7,8.462,-1.062,9.1
"1383","1383  ",2.238,8.03,"0  ",0,"1  ","0  ","10  ",1,5.695,-1.305,-3.405,8.462,-2.767,9.1
"1383","1383  ",2.453,8.953,"0  ",0,"1  ","0  ","10  ",1,5.795,-1.205,-3.305,8.462,-2.667,9.1
"1383","1383  ",2.197,10.03,"0  ",0,"1  ","0  ","10  ",1,5.495,-1.505,-3.605,8.462,-2.967,9.1
"1383","1383  ",2.196,11.068,"0  ",0,"1  ","0  ","10  ",1,5.795,-1.205,-3.305,8.462,-2.667,9.1
"1387","1387  ",1.586,1.116,"0  ",0,"1  ","0  ","11  ",2,9.1,2.1,NA,8.97,0.13,9.1
"1387","1387  ",1.618,1.896,"0  ",0,"1  ","0  ","11  ",2,11.8,4.8,2.7,8.97,2.83,9.1
"1387","1387  ",1.491,2.034,"0  ",0,"1  ","0  ","11  ",2,15.2,8.2,6.1,8.97,6.23,9.1
"1387","1387  ",1.418,2.141,"0  ",0,"1  ","0  ","11  ",2,7.8,0.8,-1.3,8.97,-1.17,9.1
"1387","1387  ",1.389,2.681,"0  ",0,"1  ","0  ","11  ",2,7.6,0.6,-1.5,8.97,-1.37,9.1
"1387","1387  ",1.833,4.395,"0  ",0,"1  ","0  ","11  ",2,5.495,-1.505,-3.605,8.97,-3.475,9.1
"1387","1387  ",1.752,4.64,"0  ",0,"1  ","0  ","11  ",2,5.795,-1.205,-3.305,8.97,-3.175,9.1
"1405","1405  ",2.636,0.14,"0  ",0,"0  ","1  ","9  ",0,2.895,-4.105,0,6.468,-3.572,2.895
"1405","1405  ",1.942,0.96,"0  ",0,"0  ","1  ","9  ",0,4.695,-2.305,1.8,6.468,-1.773,2.895
"1405","1405  ",2.001,2.42,"0  ",0,"0  ","1  ","9  ",0,4.895,-2.105,2,6.468,-1.572,2.895
"1405","1405  ",1.959,2.715,"0  ",0,"0  ","1  ","9  ",0,10,3,7.105,6.468,3.533,2.895
"1405","1405  ",1.987,3.696,"0  ",0,"0  ","1  ","9  ",0,6.9,-0.1,4.005,6.468,0.433,2.895
"1405","1405  ",1.95,4.456,"0  ",0,"0  ","1  ","9  ",0,8.5,1.5,5.605,6.468,2.033,2.895
"1405","1405  ",1.828,4.756,"0  ",0,"0  ","1  ","9  ",0,6.468,-0.533,3.572,6.468,0,2.895
"1405","1405  ",1.393,5.316,"0  ",0,"0  ","1  ","9  ",0,9,2,6.105,6.468,2.533,2.895
"1405","1405  ",1.847,6.816,"0  ",0,"0  ","1  ","9  ",0,7.8,0.8,4.905,6.468,1.332,2.895
"1405","1405  ",1.922,7.416,"0  ",0,"0  ","1  ","9  ",0,5.495,-1.505,2.6,6.468,-0.973,2.895
"1405","1405  ",1.946,8.339,"0  ",0,"0  ","1  ","9  ",0,4.495,-2.505,1.6,6.468,-1.972,2.895
"1417","1417  ",1.477,0.4,"0  ",0,"0  ","0  ","7  ",-2,11.5,4.5,0,8.076,3.424,11.5
"1417","1417  ",1.535,0.886,"0  ",0,"0  ","0  ","7  ",-2,9.8,2.8,-1.7,8.076,1.724,11.5
"1417","1417  ",1.819,2.12,"0  ",0,"0  ","0  ","7  ",-2,8.5,1.5,-3,8.076,0.424,11.5
"1417","1417  ",1.598,3.216,"0  ",0,"0  ","0  ","7  ",-2,8.1,1.1,-3.4,8.076,0.024,11.5
"1417","1417  ",1.889,4.636,"0  ",0,"0  ","0  ","7  ",-2,10.6,3.6,-0.9,8.076,2.524,11.5
"1417","1417  ",2.044,5.361,"0  ",0,"0  ","0  ","7  ",-2,7.8,0.8,-3.7,8.076,-0.276,11.5
"1417","1417  ",2.13,6.284,"0  ",0,"0  ","0  ","7  ",-2,6.295,-0.705,-5.205,8.076,-1.781,11.5
"1417","1417  ",1.792,7.496,"0  ",0,"0  ","0  ","7  ",-2,4.995,-2.005,-6.505,8.076,-3.081,11.5
"1417","1417  ",2.052,8.132,"0  ",0,"0  ","0  ","7  ",-2,5.095,-1.905,-6.405,8.076,-2.981,11.5
"1420","1420  ",1.735,0.231,"0  ",0,"0  ","0  ","8  ",-1,2.895,-4.105,0,6.718,-3.822,2.895
"1420","1420  ",2.069,1.171,"0  ",0,"0  ","0  ","8  ",-1,4.695,NA,1.8,6.718,-2.023,2.895
"1420","1420  ",2.35,1.691,"0  ",0,"0  ","0  ","8  ",-1,3.595,-3.405,0.7,6.718,-3.122,2.895
"1420","1420  ",2.118,3.191,"0  ",0,"0  ","0  ","8  ",-1,6.9,-0.1,4.005,6.718,0.183,2.895
"1420","1420  ",2.119,4.248,"0  ",0,"0  ","0  ","8  ",-1,8.5,1.5,5.605,6.718,1.783,2.895
"1420","1420  ",1.789,5.188,"0  ",0,"0  ","0  ","8  ",-1,10.3,3.3,7.405,6.718,3.582,2.895
"1420","1420  ",1.932,6.535,"0  ",0,"0  ","0  ","8  ",-1,9.4,NA,6.505,6.718,2.682,2.895
"1420","1420  ",2.079,7.635,"0  ",0,"0  ","0  ","8  ",-1,9.4,2.4,6.505,6.718,2.682,2.895
"1420","1420  ",1.997,8.355,"0  ",0,"0  ","0  ","8  ",-1,6.295,-0.705,3.4,6.718,-0.423,2.895
"1420","1420  ",2.04,9.855,"0  ",0,"0  ","0  ","8  ",-1,5.195,-1.805,2.3,6.718,-1.523,2.895
"1431","1431  ",2.255,0.34,"1  ",0.34,"0  ","0  ","11  ",2,4.895,-2.105,0,7.798,-2.903,4.895
"1431","1431  ",2.451,0.99,"1  ",0.99,"0  ","0  ","11  ",2,10,NA,5.105,7.798,2.202,4.895
"1431","1431  ",2.155,2.49,"1  ",2.49,"0  ","0  ","11  ",2,8.5,1.5,NA,7.798,0.702,4.895
"1434","1434  ",2.457,1.327,"0  ",0,"0  ","0  ","10  ",1,4.095,-2.905,0,5.359,-1.264,4.095
"1434","1434  ",2.115,2.019,"0  ",0,"0  ","0  ","10  ",1,5.095,-1.905,1,5.359,-0.264,4.095
"1434","1434  ",1.804,3,"0  ",0,"0  ","0  ","10  ",1,5.795,-1.205,1.7,5.359,0.436,4.095
"1434","1434  ",1.829,4.038,"0  ",0,"0  ","0  ","10  ",1,4.195,-2.805,0.1,5.359,-1.164,4.095
"1434","1434  ",2.029,4.981,"0  ",0,"0  ","0  ","10  ",1,4.695,-2.305,NA,5.359,-0.664,4.095
"1434","1434  ",2.581,6.096,"0  ",0,"0  ","0  ","10  ",1,5.895,-1.105,1.8,5.359,0.536,4.095
"1434","1434  ",2.451,7.192,"0  ",0,"0  ","0  ","10  ",1,6.295,-0.705,2.2,5.359,0.936,4.095
"1434","1434  ",2.723,8.404,"0  ",0,"0  ","0  ","10  ",1,7,0,2.905,5.359,1.641,4.095
"1434","1434  ",1.842,9.118,"0  ",0,"0  ","0  ","10  ",1,5.095,NA,1,5.359,-0.264,4.095
"1434","1434  ",1.609,10.176,"0  ",0,"0  ","0  ","10  ",1,4.495,-2.505,NA,5.359,-0.864,4.095
"1434","1434  ",1.941,11.176,"0  ",0,"0  ","0  ","10  ",1,6.295,-0.705,2.2,5.359,0.936,4.095
"1450","1450  ",1.655,0.25,"0  ",0,"0  ","1  ","9  ",0,2.895,-4.105,0,5.763,-2.868,2.895
"1450","1450  ",1.623,1.288,"0  ",0,"0  ","1  ","9  ",0,4.695,-2.305,1.8,5.763,-1.068,2.895
"1450","1450  ",1.253,2.146,"0  ",0,"0  ","1  ","9  ",0,3.595,-3.405,0.7,5.763,-2.168,2.895
"1450","1450  ",1.828,3.204,"0  ",0,"0  ","1  ","9  ",0,4.895,-2.105,2,5.763,-0.868,2.895
"1450","1450  ",2.772,4.338,"0  ",0,"0  ","1  ","9  ",0,7.4,0.4,4.505,5.763,1.637,2.895
"1450","1450  ",2.07,5.338,"0  ",0,"0  ","1  ","9  ",0,4.395,-2.605,1.5,5.763,-1.368,2.895
"1450","1450  ",2.052,5.981,"0  ",0,"0  ","1  ","9  ",0,9.3,2.3,6.405,5.763,3.537,2.895
"1450","1450  ",2.25,6.861,"0  ",0,"0  ","1  ","9  ",0,9,2,6.105,5.763,3.237,2.895
"1450","1450  ",2.349,7.721,"0  ",0,"0  ","1  ","9  ",0,7.8,0.8,NA,5.763,2.037,2.895
"1450","1450  ",2.302,8.376,"0  ",0,"0  ","1  ","9  ",0,5.495,-1.505,2.6,5.763,-0.268,2.895
"1450","1450  ",1.946,8.416,"0  ",0,"0  ","1  ","9  ",0,4.495,-2.505,1.6,5.763,-1.268,2.895
"1450","1450  ",1.57,9.256,"0  ",0,"0  ","1  ","9  ",0,5.195,-1.805,2.3,5.763,-0.568,2.895
"1452","1452  ",1.763,0.18,"0  ",0,"0  ","1  ","7  ",-2,3.595,-3.405,0,7.028,-3.433,3.595
"1452","1452  ",2.809,2.026,"0  ",0,"0  ","1  ","7  ",-2,10,3,6.405,7.028,2.972,3.595
"1452","1452  ",1.693,3.142,"0  ",0,"0  ","1  ","7  ",-2,7.4,0.4,3.805,7.028,0.372,3.595
"1452","1452  ",2.164,4.084,"0  ",0,"0  ","1  ","7  ",-2,8,1,4.405,7.028,0.972,3.595
"1452","1452  ",2.083,5.199,"0  ",0,"0  ","1  ","7  ",-2,9.3,2.3,5.705,7.028,2.272,3.595
"1452","1452  ",2.034,6.642,"0  ",0,"0  ","1  ","7  ",-2,9,2,5.405,7.028,1.972,3.595
"1452","1452  ",2.044,7.872,"0  ",0,"0  ","1  ","7  ",-2,7.8,0.8,4.205,7.028,0.772,3.595
"1452","1452  ",2.039,8.718,"0  ",0,"0  ","1  ","7  ",-2,5.495,-1.505,1.9,7.028,-1.533,3.595
"1452","1452  ",2.197,9.565,"0  ",0,"0  ","1  ","7  ",-2,4.495,-2.505,0.9,7.028,-2.533,3.595
"1452","1452  ",2.212,10.488,"0  ",0,"0  ","1  ","7  ",-2,5.195,-1.805,1.6,7.028,-1.833,3.595
"1456","1456  ",1.763,0.301,"0  ",0,"0  ","0  ","8  ",-1,3.595,-3.405,0,7.279,-3.684,3.595
"1456","1456  ",1.735,0.537,"0  ",0,"0  ","0  ","8  ",-1,4.895,-2.105,1.3,7.279,-2.384,3.595
"1456","1456  ",1.535,1.282,"0  ",0,"0  ","0  ","8  ",-1,10,3,6.405,7.279,2.721,3.595
"1456","1456  ",1.781,2.002,"0  ",0,"0  ","0  ","8  ",-1,7.4,0.4,3.805,7.279,0.122,3.595
"1456","1456  ",1.868,2.617,"0  ",0,"0  ","0  ","8  ",-1,7.279,0.278,3.684,7.279,0,3.595
"1456","1456  ",1.502,2.892,"0  ",0,"0  ","0  ","8  ",-1,9.5,2.5,5.905,7.279,2.221,3.595
"1456","1456  ",1.546,3.228,"0  ",0,"0  ","0  ","8  ",-1,9.2,2.2,5.605,7.279,1.921,3.595
"1456","1456  ",1.371,3.656,"0  ",0,"0  ","0  ","8  ",-1,7.8,0.8,4.205,7.279,0.521,3.595
"1456","1456  ",1.66,4.466,"0  ",0,"0  ","0  ","8  ",-1,7.3,0.3,3.705,7.279,0.022,3.595
"1456","1456  ",2.12,5.111,"0  ",0,"0  ","0  ","8  ",-1,6.195,-0.805,2.6,7.279,-1.084,3.595
"1456","1456  ",1.975,5.491,"0  ",0,"0  ","0  ","8  ",-1,6.9,-0.1,3.305,7.279,-0.379,3.595
"1464","1464  ",0.975,1.5,"0  ",0,"0  ","0  ","7  ",-2,5.795,-1.205,0,6.347,-0.552,5.795
"1464","1464  ",2.469,2.442,"0  ",0,"0  ","0  ","7  ",-2,3.795,-3.205,-2,6.347,-2.552,5.795
"1464","1464  ",2.581,3.346,"0  ",0,"0  ","0  ","7  ",-2,6.347,-0.653,0.552,6.347,0,5.795
"1464","1464  ",2.578,4.481,"0  ",0,"0  ","0  ","7  ",-2,5.895,NA,0.1,6.347,-0.452,5.795
"1464","1464  ",2.515,5.981,"0  ",0,"0  ","0  ","7  ",-2,9.2,2.2,3.405,6.347,2.853,5.795
"1464","1464  ",2.701,6.712,"0  ",0,"0  ","0  ","7  ",-2,8.7,1.7,2.905,6.347,2.353,5.795
"1464","1464  ",1.997,7.75,"0  ",0,"0  ","0  ","7  ",-2,7.3,0.3,1.505,6.347,0.953,5.795
"1464","1464  ",1.927,8.962,"0  ",0,"0  ","0  ","7  ",-2,4.495,-2.505,NA,6.347,-1.852,5.795
"1464","1464  ",1.504,9.274,"0  ",0,"0  ","0  ","7  ",-2,5.595,NA,-0.2,6.347,-0.752,5.795
"1466","1466  ",1.987,1.348,"0  ",0,"0  ","0  ","8  ",-1,4.095,-2.905,0,5.196,-1.101,4.095
"1466","1466  ",0.824,1.543,"1  ",0,"0  ","0  ","8  ",-1,5.795,-1.205,1.7,5.196,0.599,4.095
"1466","1466  ",2.905,2.538,"1  ",0.995,"0  ","0  ","8  ",-1,4.195,-2.805,0.1,5.196,-1.001,4.095
"1466","1466  ",1.866,5.538,"1  ",3.995,"0  ","0  ","8  ",-1,7,0,NA,5.196,1.804,4.095
"1466","1466  ",1.609,7.038,"1  ",5.495,"0  ","0  ","8  ",-1,4.495,NA,0.4,5.196,-0.701,4.095
"1466","1466  ",2.055,7.673,"1  ",6.13,"0  ","0  ","8  ",-1,5.595,-1.405,1.5,5.196,0.399,4.095
"1508","1508  ",1.71,0.558,"1  ",0.558,"0  ","0  ","8  ",-1,7.4,0.4,0,7.031,0.369,7.4
"1508","1508  ",2.189,1.483,"1  ",1.483,"0  ","0  ","8  ",-1,8.9,1.9,1.5,7.031,1.869,7.4
"1508","1508  ",2.538,5.636,"1  ",5.636,"0  ","0  ","8  ",-1,7.7,0.7,0.3,7.031,0.669,7.4
"1508","1508  ",2.719,7.886,"1  ",7.886,"0  ","0  ","8  ",-1,6.095,-0.905,-1.305,7.031,-0.936,7.4
"1508","1508  ",2.851,8.982,"1  ",8.982,"0  ","0  ","8  ",-1,5.995,-1.005,-1.405,7.031,-1.036,7.4
"1508","1508  ",2.865,9.905,"1  ",9.905,"0  ","0  ","8  ",-1,6.095,-0.905,-1.305,7.031,-0.936,7.4
"1515","1515  ",1.476,1.154,"0  ",0,"0  ","0  ","12  ",3,6.9,-0.1,0,6.952,-0.052,6.9
"1515","1515  ",1.814,2.154,"0  ",0,"0  ","0  ","12  ",3,7.4,0.4,0.5,6.952,0.448,6.9
"1515","1515  ",3.377,2.962,"0  ",0,"0  ","0  ","12  ",3,8.9,1.9,2,6.952,1.948,6.9
"1515","1515  ",1.895,3.942,"0  ",0,"0  ","0  ","12  ",3,7.3,0.3,0.4,6.952,0.348,6.9
"1515","1515  ",2.384,4.981,"0  ",0,"0  ","0  ","12  ",3,6.595,-0.405,-0.305,6.952,-0.357,6.9
"1515","1515  ",2.337,6.019,"0  ",0,"0  ","0  ","12  ",3,6.295,-0.705,-0.605,6.952,-0.657,6.9
"1515","1515  ",2.351,7.192,"0  ",0,"0  ","0  ","12  ",3,7.7,0.7,0.8,6.952,0.748,6.9
"1515","1515  ",2.401,8.519,"0  ",0,"0  ","0  ","12  ",3,7.2,0.2,0.3,6.952,0.248,6.9
"1515","1515  ",2.351,9.423,"0  ",0,"0  ","0  ","12  ",3,6.095,-0.905,-0.805,6.952,-0.857,6.9
"1515","1515  ",2.42,10.358,"0  ",0,"0  ","0  ","12  ",3,5.995,-1.005,-0.905,6.952,-0.957,6.9
"1515","1515  ",2.263,11.473,"0  ",0,"0  ","0  ","12  ",3,6.095,-0.905,-0.805,6.952,-0.857,6.9
"1535","1535  ",2.1,1.173,"0  ",0,"0  ","1  ","9  ",0,4.395,-2.605,0,5.812,-1.417,4.395
"1535","1535  ",1.907,2.4,"0  ",0,"0  ","1  ","9  ",0,4.995,-2.005,0.6,5.812,-0.817,4.395
"1535","1535  ",2.014,3.14,"0  ",0,"0  ","1  ","9  ",0,5.895,-1.105,1.5,5.812,0.083,4.395
"1535","1535  ",2.1,4.179,"0  ",0,"0  ","1  ","9  ",0,6.395,-0.605,2,5.812,0.583,4.395
"1535","1535  ",2.147,4.899,"0  ",0,"0  ","1  ","9  ",0,5.095,-1.905,0.7,5.812,-0.717,4.395
"1535","1535  ",1.959,5.411,"0  ",0,"0  ","1  ","9  ",0,4.995,-2.005,0.6,5.812,-0.817,4.395
"1535","1535  ",1.566,6.056,"0  ",0,"0  ","1  ","9  ",0,6.395,NA,2,5.812,0.583,4.395
"1535","1535  ",1.526,6.926,"0  ",0,"0  ","1  ","9  ",0,8,1,3.605,5.812,2.188,4.395
"1535","1535  ",1.707,8.146,"0  ",0,"0  ","1  ","9  ",0,6.695,-0.305,2.3,5.812,0.883,4.395
"1535","1535  ",1.66,8.406,"0  ",0,"0  ","1  ","9  ",0,6.295,-0.705,1.9,5.812,0.483,4.395
"1535","1535  ",1.609,8.712,"0  ",0,"0  ","1  ","9  ",0,5.095,-1.905,0.7,5.812,-0.717,4.395
"1535","1535  ",1.475,9.572,"0  ",0,"0  ","1  ","9  ",0,5.495,NA,1.1,5.812,-0.317,4.395
"1536","1536  ",1.398,0.173,"0  ",0,"0  ","1  ","10  ",1,4.395,-2.605,0,5.759,-1.364,4.395
"1536","1536  ",1.987,1.513,"0  ",0,"0  ","1  ","10  ",1,4.995,-2.005,0.6,5.759,-0.764,4.395
"1536","1536  ",1.836,2.253,"0  ",0,"0  ","1  ","10  ",1,5.895,-1.105,1.5,5.759,0.136,4.395
"1536","1536  ",1.607,3.292,"0  ",0,"0  ","1  ","10  ",1,5.095,-1.905,NA,5.759,-0.664,4.395
"1536","1536  ",1.959,4.012,"0  ",0,"0  ","1  ","10  ",1,4.995,-2.005,0.6,5.759,-0.764,4.395
"1536","1536  ",1.946,4.952,"0  ",0,"0  ","1  ","10  ",1,6.395,-0.605,2,5.759,0.636,4.395
"1536","1536  ",1.91,6.413,"0  ",0,"0  ","1  ","10  ",1,8,1,3.605,5.759,2.241,4.395
"1536","1536  ",1.412,7.333,"0  ",0,"0  ","1  ","10  ",1,6.695,-0.305,2.3,5.759,0.936,4.395
"1536","1536  ",1.66,8.153,"0  ",0,"0  ","1  ","10  ",1,6.295,-0.705,NA,5.759,0.536,4.395
"1536","1536  ",1.386,8.693,"0  ",0,"0  ","1  ","10  ",1,5.095,NA,0.7,5.759,-0.664,4.395
"1536","1536  ",1.752,9.593,"0  ",0,"0  ","1  ","10  ",1,5.495,-1.505,1.1,5.759,-0.264,4.395
"1537","1537  ",1.943,0.173,"0  ",0,"0  ","1  ","9  ",0,4.395,-2.605,0,5.853,-1.458,4.395
"1537","1537  ",2.68,1.673,"1  ",0,"0  ","1  ","9  ",0,4.995,-2.005,0.6,5.853,-0.858,4.395
"1537","1537  ",2.461,5.223,"1  ",3.55,"0  ","1  ","9  ",0,5.853,-1.147,1.458,5.853,-0,4.395
"1537","1537  ",3.244,6.286,"1  ",4.613,"0  ","1  ","9  ",0,5.853,NA,1.458,5.853,-0,4.395
"1537","1537  ",3.225,7.231,"1  ",5.558,"0  ","1  ","9  ",0,8,1,3.605,5.853,2.147,4.395
"1537","1537  ",2.264,8.308,"1  ",6.634,"0  ","1  ","9  ",0,6.695,-0.305,2.3,5.853,0.842,4.395
"1537","1537  ",2.216,9.461,"1  ",7.788,"0  ","1  ","9  ",0,6.295,-0.705,1.9,5.853,0.442,4.395
"1537","1537  ",2.303,10.365,"1  ",8.692,"0  ","1  ","9  ",0,5.095,-1.905,0.7,5.853,-0.758,4.395
"1537","1537  ",2.085,11.288,"1  ",9.615,"0  ","1  ","9  ",0,5.495,-1.505,1.1,5.853,-0.358,4.395
"1542","1542  ",1.81,0.173,"0  ",0,"0  ","0  ","10  ",1,4.395,-2.605,0,4.395,0,4.395
"1543","1543  ",1.422,1.04,"0  ",0,"0  ","0  ","9  ",0,9,2,0,8.158,0.842,9
"1543","1543  ",1.892,1.335,"0  ",0,"0  ","0  ","9  ",0,6.395,-0.605,-2.605,8.158,-1.763,9
"1543","1543  ",1.804,2.489,"0  ",0,"0  ","0  ","9  ",0,5.095,-1.905,-3.905,8.158,-3.063,9
"1543","1543  ",1.828,3.989,"0  ",0,"0  ","0  ","9  ",0,12.1,5.1,3.1,8.158,3.942,9
